case_id,device_model,ios_version,app_commit,freedom_ipfs_commit,bee_commit,xcframework_artifact,bee_state,cache_state,routing_mode,network_type,result,rss_baseline_mib,rss_idle_mib,rss_idle_delta_mib,rss_peak_mib,cpu_idle_percent,network_idle_bytes_per_minute,first_byte_ms,complete_load_ms,retrieval_delta,routing_delta,active_preloads,trace_links,notes
cold_idle,,,,,,,on,clean,auto,wifi,pass/fail,,,,,,,,,,,,,
vitalik_eth,,,,,,,on,clean,auto,wifi,pass/fail,,,,,,,,,,,,,
daicowtf_eth,,,,,,,on,clean,auto,wifi,pass/fail,,,,,,,,,,,,,
dnslink_ipns,,,,,,,on,clean,auto,wifi,pass/fail,,,,,,,,,,,,,
byte_range,,,,,,,on,warm,auto,wifi,pass/fail,,,,,,,,,,,,,
background_foreground,,,,,,,on,warm,auto,wifi,pass/fail,,,,,,,,,,,,,
low_memory,,,,,,,on,warm,auto,wifi,pass/fail,,,,,,,,,,,,,
network_change,,,,,,,on,warm,auto,wifi_to_cellular,pass/fail,,,,,,,,,,,,,
retrieval_soak,,,,,,,on,mixed,auto,wifi,pass/fail,,,,,,,,,,,,,
cold_idle_baseline_bee_only,,,,,,,baseline_on_ipfs_off,clean,none,wifi,pass/fail,,,,,,,,,,,,,
cold_idle_ipfs_only,,,,,,,off,clean,auto,wifi,pass/fail,,,,,,,,,,,,,
